player_id,player_name,player_url,team_id,team_name,table_source,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,nationality_189,position_189,age_189,gk_games,gk_games_starts,gk_minutes,minutes_90s_189,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_goals_against_189,gk_pens_allowed_189,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,goals_189,shots,shots_on_target,shots_per90,shots_on_target_per90,shots_free_kicks,pens_made_189,pens_att_189,xg_189,npxg_189,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_189,xg_assist_189,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_189,passes_189,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_189,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,progressive_carries_189,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_189,games_189,minutes_189,minutes_per_game,minutes_pct,games_starts_189,minutes_per_start,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,cards_yellow_189,cards_red_189,cards_yellow_red,fouls,fouled,offsides,crosses_189,interceptions_189,tackles_won_189,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,npxg_per_shot,take_ons_won_pct,take_ons_tackled_pct,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub,gk_pens_save_pct
87f3ffa4,Hannah Hampton,https://fbref.com/en/players/87f3ffa4/Hannah-Hampton,a6a4e67d,Chelsea,stats_standard_189,eng ENG,GK,23.0,22,22,"1,980",22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,GK,23.0,22.0,22.0,"1,980",22.0,13.0,0.59,62.0,49.0,79.0,19.0,3.0,0.0,13.0,59.1,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,15.1,0.24,+2.1,+0.09,61.0,160.0,38.1,886.0,73.0,16.6,25.5,73.0,17.8,25.4,219.0,16.0,7.3,31.0,1.41,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,962.0,85.7,17987.0,10267.0,197.0,201.0,98.0,502.0,507.0,99.0,125.0,250.0,50.0,0.0,0.0,0.2,0.0,0.0,8.0,0.0,0.0,1.0,962.0,866.0,93.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,3.0,0.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,1003.0,618.0,988.0,15.0,0.0,0.0,1003.0,0.0,0.0,0.0,700.0,2895.0,1533.0,0.0,0.0,0.0,0.0,0.0,731.0,0.0,22,"1,980",90.0,100.0,22,90.0,22,0,0,2.73,56.0,13.0,+43,+1.95,48.2,19.2,+28.9,+1.32,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,100.0,,,,,,,,,,,
22fccf20,Millie Bright,https://fbref.com/en/players/22fccf20/Millie-Bright,a6a4e67d,Chelsea,stats_standard_189,eng ENG,DF,30.0,21,21,"1,822",20.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.7,1.9,5.0,85.0,5.0,0.0,0.1,0.1,0.0,0.1,0.06,0.03,0.09,0.06,0.09,eng ENG,DF,30.0,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,3.0,0.74,0.15,0.0,0.0,0.0,1.2,1.2,-1.2,-1.2,1332.0,1514.0,88.0,26972.0,10153.0,416.0,465.0,89.5,740.0,782.0,94.6,166.0,236.0,70.3,2.0,0.7,1.7,+1.3,8.0,99.0,4.0,1.0,85.0,1514.0,1447.0,62.0,39.0,0.0,16.0,4.0,6.0,0.0,0.0,0.0,0.0,1332.0,5.0,6.0,27.0,1.33,26.0,0.0,0.0,0.0,0.0,1.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,16.0,18.0,2.0,14.0,17.0,82.4,3.0,12.0,8.0,4.0,30.0,66.0,101.0,1.0,1750.0,215.0,908.0,764.0,86.0,31.0,1750.0,13.0,8.0,5.0,1079.0,5082.0,2393.0,5.0,10.0,1.0,8.0,9.0,1241.0,5.0,21,"1,822",87.0,92.0,21,87.0,19,0,0,2.71,55.0,12.0,+43,+2.12,44.9,17.8,+27.1,+1.34,1.0,0.0,0.0,18.0,4.0,0.0,4.0,30.0,20.0,0.0,0.0,0.0,90.0,50.0,20.0,71.4,20.0,0.0,0.0,14.2,0.08,61.5,38.5,+2.12,+0.29,,
0050cd30,Sjoeke Nüsken,https://fbref.com/en/players/0050cd30/Sjoeke-Nusken,a6a4e67d,Chelsea,stats_standard_189,de GER,MF,23.0,21,18,"1,522",16.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,6.1,6.1,2.3,8.4,14.0,93.0,56.0,0.12,0.18,0.3,0.12,0.3,0.36,0.14,0.5,0.36,0.5,de GER,MF,23.0,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,8.0,2.66,0.47,0.0,0.0,0.0,6.1,6.1,-4.1,-4.1,619.0,769.0,80.5,10863.0,3087.0,288.0,334.0,86.2,245.0,294.0,83.3,69.0,100.0,69.0,3.0,2.3,2.0,+0.7,27.0,72.0,17.0,4.0,93.0,769.0,762.0,3.0,3.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,619.0,4.0,15.0,60.0,3.55,45.0,0.0,1.0,7.0,2.0,5.0,8.0,0.47,4.0,0.0,0.0,0.0,1.0,3.0,52.0,35.0,16.0,24.0,12.0,14.0,37.0,37.8,23.0,28.0,7.0,21.0,39.0,91.0,29.0,1.0,1027.0,40.0,251.0,485.0,300.0,80.0,1027.0,18.0,4.0,14.0,504.0,2086.0,772.0,14.0,15.0,2.0,24.0,24.0,658.0,56.0,21,"1,522",72.0,76.9,18,80.0,11,3,1,2.71,41.0,10.0,+31,+1.83,37.3,14.5,+22.8,+1.35,3.0,0.0,0.0,20.0,21.0,2.0,10.0,39.0,35.0,0.0,0.0,0.0,98.0,35.0,21.0,62.5,17.8,0.04,0.25,12.4,0.14,22.2,77.8,-0.52,+0.15,25.0,
5056c581,Lucy Bronze,https://fbref.com/en/players/5056c581/Lucy-Bronze,a6a4e67d,Chelsea,stats_standard_189,eng ENG,DF,32.0,19,16,"1,490",16.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,2.8,4.4,27.0,121.0,49.0,0.12,0.18,0.3,0.12,0.3,0.1,0.17,0.27,0.1,0.27,eng ENG,DF,32.0,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,4.0,1.21,0.24,0.0,0.0,0.0,1.6,1.6,+0.4,+0.4,936.0,1211.0,77.3,14715.0,6837.0,492.0,574.0,85.7,358.0,447.0,80.1,62.0,119.0,52.1,3.0,2.8,3.3,+0.2,26.0,100.0,24.0,11.0,121.0,1211.0,1018.0,189.0,25.0,1.0,2.0,42.0,164.0,0.0,0.0,0.0,0.0,936.0,4.0,35.0,60.0,3.62,49.0,2.0,1.0,6.0,0.0,2.0,6.0,0.36,4.0,0.0,0.0,2.0,0.0,0.0,25.0,12.0,12.0,10.0,3.0,11.0,26.0,42.3,15.0,21.0,5.0,16.0,42.0,67.0,57.0,0.0,1443.0,68.0,456.0,653.0,344.0,39.0,1443.0,30.0,10.0,19.0,639.0,3379.0,1702.0,27.0,26.0,2.0,30.0,10.0,806.0,49.0,19,"1,490",78.0,75.3,16,85.0,13,3,0,2.68,39.0,11.0,+28,+1.69,35.5,16.4,+19.1,+1.15,1.0,0.0,0.0,17.0,15.0,0.0,42.0,42.0,12.0,0.0,0.0,0.0,88.0,38.0,19.0,66.7,20.0,0.1,0.5,15.1,0.08,33.3,63.3,-1.06,-0.65,43.0,
a9d473d9,Johanna Rytting Kaneryd,https://fbref.com/en/players/a9d473d9/Johanna-Rytting-Kaneryd,a6a4e67d,Chelsea,stats_standard_189,se SWE,"FW,MF",27.0,21,16,"1,469",16.3,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,5.8,5.8,3.7,9.5,99.0,57.0,192.0,0.25,0.25,0.49,0.25,0.49,0.35,0.23,0.58,0.35,0.58,se SWE,"FW,MF",27.0,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,46.0,16.0,2.82,0.98,0.0,0.0,0.0,5.8,5.8,-1.8,-1.8,448.0,624.0,71.8,5800.0,1762.0,294.0,367.0,80.1,106.0,166.0,63.9,16.0,30.0,53.3,4.0,3.7,3.4,+0.3,36.0,25.0,38.0,7.0,57.0,624.0,607.0,15.0,2.0,1.0,1.0,59.0,13.0,0.0,0.0,0.0,0.0,448.0,2.0,22.0,69.0,4.23,58.0,1.0,4.0,5.0,1.0,0.0,8.0,0.49,6.0,0.0,1.0,1.0,0.0,0.0,25.0,15.0,6.0,13.0,6.0,8.0,20.0,40.0,12.0,28.0,2.0,26.0,11.0,36.0,7.0,1.0,863.0,9.0,112.0,266.0,503.0,126.0,863.0,61.0,23.0,38.0,509.0,3746.0,2131.0,99.0,44.0,57.0,48.0,33.0,592.0,192.0,21,"1,469",70.0,74.2,16,80.0,5,5,1,2.81,34.0,11.0,+23,+1.41,33.0,15.4,+17.6,+1.08,0.0,0.0,0.0,6.0,8.0,3.0,59.0,11.0,15.0,0.0,0.0,0.0,90.0,8.0,18.0,30.8,34.8,0.09,0.25,14.6,0.13,37.7,62.3,-2.11,-0.92,39.0,
76a887a9,Erin Cuthbert,https://fbref.com/en/players/76a887a9/Erin-Cuthbert,a6a4e67d,Chelsea,stats_standard_189,sct SCO,MF,26.0,18,14,"1,152",12.8,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,1.5,3.9,19.0,54.0,31.0,0.31,0.0,0.31,0.31,0.31,0.19,0.12,0.3,0.19,0.3,sct SCO,MF,26.0,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,28.0,11.0,2.19,0.86,0.0,0.0,0.0,2.4,2.4,+1.6,+1.6,486.0,582.0,83.5,8682.0,1778.0,201.0,213.0,94.4,231.0,262.0,88.2,45.0,72.0,62.5,0.0,1.5,1.8,-1.5,14.0,42.0,13.0,3.0,54.0,582.0,559.0,22.0,12.0,1.0,6.0,27.0,1.0,9.0,9.0,0.0,0.0,486.0,1.0,17.0,31.0,2.42,20.0,4.0,3.0,2.0,1.0,1.0,1.0,0.08,0.0,0.0,1.0,0.0,0.0,0.0,48.0,31.0,16.0,25.0,7.0,23.0,35.0,65.7,12.0,22.0,3.0,19.0,22.0,70.0,14.0,1.0,765.0,21.0,165.0,376.0,232.0,47.0,765.0,28.0,14.0,13.0,396.0,1893.0,657.0,19.0,9.0,6.0,21.0,20.0,457.0,31.0,18,"1,152",64.0,58.2,14,74.0,6,4,1,2.89,30.0,4.0,+26,+2.03,27.5,12.2,+15.3,+1.20,5.0,0.0,0.0,17.0,15.0,1.0,27.0,22.0,31.0,0.0,0.0,0.0,85.0,10.0,5.0,66.7,39.3,0.14,0.36,18.4,0.09,50.0,46.4,+0.18,-0.28,30.0,
0cd40e51,Sandy Baltimore,https://fbref.com/en/players/0cd40e51/Sandy-Baltimore,a6a4e67d,Chelsea,stats_standard_189,fr FRA,"DF,FW",24.0,15,14,"1,115",12.4,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,1.5,1.3,2.0,3.3,54.0,59.0,88.0,0.32,0.24,0.57,0.32,0.57,0.12,0.16,0.28,0.11,0.27,fr FRA,"DF,FW",24.0,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16.0,8.0,1.29,0.65,0.0,0.0,0.0,1.5,1.3,+2.5,+2.7,516.0,657.0,78.5,7839.0,2770.0,293.0,325.0,90.2,190.0,232.0,81.9,22.0,62.0,35.5,3.0,2.0,2.1,+1.0,20.0,28.0,17.0,6.0,59.0,657.0,531.0,124.0,8.0,0.0,1.0,68.0,84.0,32.0,25.0,1.0,0.0,516.0,2.0,18.0,48.0,3.87,36.0,7.0,4.0,0.0,0.0,1.0,7.0,0.57,4.0,1.0,2.0,0.0,0.0,0.0,17.0,13.0,10.0,3.0,4.0,5.0,10.0,50.0,5.0,14.0,1.0,13.0,22.0,39.0,13.0,2.0,795.0,20.0,163.0,303.0,338.0,43.0,795.0,40.0,23.0,17.0,414.0,2600.0,1529.0,54.0,30.0,16.0,24.0,25.0,495.0,88.0,15,"1,115",74.0,56.3,14,78.0,7,1,3,2.87,34.0,5.0,+29,+2.34,24.5,10.3,+14.3,+1.15,2.0,0.0,0.0,11.0,5.0,2.0,68.0,22.0,13.0,0.0,0.0,0.0,54.0,6.0,7.0,46.2,50.0,0.25,0.5,18.4,0.08,57.5,42.5,+0.88,-0.37,27.0,
3d728957,Guro Reiten,https://fbref.com/en/players/3d728957/Guro-Reiten,a6a4e67d,Chelsea,stats_standard_189,no NOR,"FW,MF",30.0,17,13,"1,093",12.1,8.0,0.0,8.0,5.0,3.0,4.0,0.0,0.0,5.9,2.9,3.2,6.1,19.0,40.0,93.0,0.66,0.0,0.66,0.41,0.41,0.48,0.26,0.75,0.24,0.51,no NOR,"FW,MF",30.0,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,8.0,2.14,0.66,0.0,3.0,4.0,5.9,2.9,+2.1,+2.1,251.0,378.0,66.4,4035.0,1518.0,132.0,165.0,80.0,86.0,120.0,71.7,23.0,61.0,37.7,0.0,3.2,4.0,-3.2,30.0,15.0,17.0,5.0,40.0,378.0,312.0,63.0,17.0,3.0,1.0,75.0,6.0,40.0,26.0,2.0,0.0,251.0,3.0,16.0,51.0,4.2,23.0,19.0,0.0,5.0,2.0,2.0,4.0,0.33,1.0,0.0,0.0,2.0,0.0,1.0,14.0,9.0,1.0,6.0,7.0,5.0,12.0,41.7,7.0,10.0,2.0,8.0,9.0,23.0,12.0,0.0,503.0,10.0,58.0,161.0,287.0,66.0,499.0,12.0,3.0,8.0,245.0,934.0,446.0,19.0,8.0,10.0,26.0,15.0,310.0,93.0,17,"1,093",64.0,55.2,13,78.0,5,4,1,2.88,37.0,6.0,+31,+2.55,27.4,9.9,+17.5,+1.44,0.0,0.0,0.0,4.0,13.0,11.0,75.0,9.0,9.0,0.0,0.0,0.0,51.0,5.0,8.0,38.5,30.8,0.19,0.63,18.0,0.11,25.0,66.7,+1.34,+0.29,20.0,
58b6ad69,Agnes Beever-Jones,https://fbref.com/en/players/58b6ad69/Agnes-Beever-Jones,a6a4e67d,Chelsea,stats_standard_189,eng ENG,"FW,MF",21.0,22,12,"1,117",12.4,9.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,6.3,6.3,1.4,7.7,29.0,40.0,95.0,0.73,0.0,0.73,0.73,0.73,0.51,0.11,0.62,0.51,0.62,eng ENG,"FW,MF",21.0,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,46.0,19.0,3.71,1.53,0.0,0.0,0.0,6.3,6.3,+2.7,+2.7,294.0,375.0,78.4,3779.0,665.0,186.0,215.0,86.5,83.0,105.0,79.0,6.0,12.0,50.0,0.0,1.4,1.6,-1.4,17.0,19.0,15.0,1.0,40.0,375.0,361.0,14.0,1.0,1.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,294.0,0.0,19.0,41.0,3.3,32.0,0.0,1.0,6.0,1.0,1.0,4.0,0.32,2.0,0.0,0.0,0.0,1.0,1.0,19.0,13.0,7.0,8.0,4.0,6.0,12.0,50.0,6.0,16.0,1.0,15.0,6.0,25.0,5.0,1.0,557.0,6.0,63.0,208.0,299.0,91.0,557.0,44.0,18.0,24.0,330.0,1765.0,788.0,29.0,18.0,16.0,40.0,28.0,392.0,95.0,22,"1,117",51.0,56.4,12,77.0,6,10,0,2.73,36.0,8.0,+28,+2.26,30.6,12.1,+18.6,+1.50,1.0,0.0,0.0,7.0,9.0,7.0,12.0,6.0,13.0,0.0,0.0,0.0,59.0,10.0,20.0,33.3,41.3,0.2,0.47,13.4,0.14,40.9,54.5,+0.69,+0.42,20.0,
61478cfd,Mayra Ramírez,https://fbref.com/en/players/61478cfd/Mayra-Ramirez,a6a4e67d,Chelsea,stats_standard_189,co COL,FW,25.0,17,12,"1,036",11.5,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.3,6.3,39.0,28.0,99.0,0.35,0.26,0.61,0.35,0.61,0.26,0.29,0.55,0.26,0.55,co COL,FW,25.0,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,36.0,16.0,3.13,1.39,0.0,0.0,0.0,3.0,3.0,+1.0,+1.0,150.0,220.0,68.2,2153.0,484.0,89.0,113.0,78.8,38.0,58.0,65.5,12.0,19.0,63.2,3.0,3.3,1.7,-0.3,18.0,8.0,9.0,1.0,28.0,220.0,199.0,19.0,0.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,150.0,2.0,11.0,47.0,4.08,28.0,0.0,6.0,8.0,5.0,0.0,8.0,0.69,3.0,0.0,1.0,3.0,1.0,0.0,11.0,5.0,2.0,3.0,6.0,6.0,16.0,37.5,10.0,12.0,0.0,12.0,1.0,12.0,3.0,0.0,419.0,3.0,14.0,133.0,284.0,117.0,419.0,61.0,21.0,37.0,273.0,1785.0,807.0,39.0,16.0,33.0,50.0,43.0,306.0,99.0,17,"1,036",61.0,52.3,12,74.0,5,5,3,2.76,32.0,5.0,+27,+2.35,23.7,7.8,+15.8,+1.38,0.0,0.0,0.0,16.0,25.0,6.0,20.0,1.0,5.0,1.0,0.0,0.0,33.0,7.0,20.0,25.9,44.4,0.11,0.25,13.6,0.08,34.4,60.7,+0.82,+0.13,30.0,
