player_id,player_name,position,age,gca_take_ons,passes_total_distance,tackles_interceptions,progressive_passes_189,shots_on_target_per90,passes_into_final_third,goals_assists_per90,gk_passes_launched,corner_kicks_straight,passes_completed_long,corner_kicks_out,carries,npxg_net,corner_kicks,interceptions,minutes_pct,crosses_into_penalty_area,minutes,gk_wins,gk_goals_against,goals_assists_pens_per90,xg_plus_minus,npxg_xg_assist,xg_189,challenges_lost,gk_pct_passes_launched,gk_passes_pct_launched,gk_psnpxg_per_shot_on_target_against,passes_dead,take_ons_tackled,interceptions_189,errors,passes_pct,age_189,pens_att,plus_minus_wowy,xg_xg_assist_per90,passes_completed,challenge_tackles,gk_losses,xg_assist_per90,gca_passes_dead,gk_passes,sca_passes_live,pens_made_189,passes_189,tackles_won_189,gk_saves,gk_pens_saved,xg_assist_net,through_balls,gca_passes_live,clearances,passes_medium,progressive_passes,tackles_mid_3rd,carries_into_penalty_area,minutes_per_start,pens_att_189,goals_189,minutes_90s,goals_per90,gk_clean_sheets,gk_def_actions_outside_pen_area,corner_kicks_in,on_xg_against,offsides,touches_att_pen_area,gca_defense,minutes_90s_189,gk_def_actions_outside_pen_area_per90,games_complete,cards_yellow_189,assists_per90,gk_corner_kick_goals_against,passes_blocked,take_ons,miscontrols,sca,challenge_tackles_pct,own_goals,gk_games,gk_crosses_stopped_pct,goals_pens,npxg_per90,gca_fouled,passes_pct_long,gk_crosses,touches_mid_3rd,take_ons_won,points_per_game,assisted_shots,sca_defense,carries_into_final_third,carries_distance,progressive_carries_189,gk_pens_missed,aerials_lost,gk_pct_goal_kicks_launched,ball_recoveries,tackles,xg_per90,games_starts_189,gk_goals_against_per90,touches,goals_per_shot_on_target,gk_pens_save_pct,xg_assist_189,crosses,games_189,npxg_per_shot,passes_pct_short,minutes_per_sub,blocked_shots,gk_goal_kick_length_avg,assists,shots,carries_progressive_distance,gk_goal_kicks,passes_switches,sca_passes_dead,shots_on_target,crosses_189,gk_clean_sheets_pct,games,tackles_att_3rd,gca_shots,gk_save_pct,npxg_xg_assist_per90,gk_games_starts,games_starts,pens_won,cards_red_189,unused_subs,gk_crosses_stopped,goals_per_shot,xg_assist,goals_assists,progressive_carries,npxg_189,progressive_passes_received,tackles_def_3rd,passes_long,gca,games_subs,gk_psxg_net_per90,throw_ins,plus_minus_per90,cards_yellow,cards_red,sca_per90,gk_pens_allowed,pens_conceded,tackles_won,goals_pens_per90,progressive_passes_received_189,gk_ties,touches_def_3rd,minutes_per_game,touches_att_3rd,fouls,passes_into_penalty_area,fouled,passes_completed_189,passes_offsides,gca_per90,gk_psxg,xg,gk_passes_completed_launched,shots_on_target_pct,aerials_won,gk_avg_distance_def_actions,gk_passes_throws,passes_progressive_distance,pass_xa,blocked_passes,shots_per90,sca_fouled,blocks,passes_live,sca_take_ons,on_xg_for,take_ons_won_pct,take_ons_tackled_pct,gk_psxg_net,gk_shots_on_target_against,passes_pct_medium,dispossessed,passes_received,passes_completed_short,passes_short,goals,gk_pens_allowed_189,passes_completed_medium,gk_free_kick_goals_against,touches_live_ball,assists_189,touches_def_pen_area,on_goals_for,gk_passes_length_avg,sca_shots,average_shot_distance,plus_minus,on_goals_against,xg_net,xg_plus_minus_per90,challenges,passes,aerials_won_pct,passes_free_kicks,gk_goals_against_189,cards_yellow_red,npxg,pens_made,xg_plus_minus_wowy,gk_pens_att,gk_own_goals_against,shots_free_kicks
004008b9,Ayaka Yamashita,GK,28.0,0.0,10895.0,1.0,1.0,0.0,4.0,0.0,74.0,0.0,69.0,0.0,466.0,0.0,0.0,0.0,45.5,0.0,900.0,7.0,10.0,0.0,10.2,0.2,0.0,0.0,11.9,44.6,0.33,40.0,0.0,0.0,0.0,89.1,28.0,0.0,0.08,0.02,542.0,1.0,1.0,0.02,0.0,580.0,1.0,0.0,608.0,0.0,25.0,0.0,-0.2,1.0,0.0,4.0,303.0,1.0,0.0,0.0,90.0,0.0,0.0,10.0,0.0,3.0,13.0,0.0,9.4,0.0,0.0,0.0,10.0,1.3,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,10.0,5.1,0.0,0.0,0.0,54.8,79.0,9.0,0.0,2.3,1.0,0.0,0.0,1855.0,0.0,0.0,0.0,19.2,24.0,1.0,0.0,10,1.0,621.0,,,0.2,0.0,10,,98.9,,0.0,24.0,0.0,0.0,1044.0,26.0,1.0,0.0,0.0,0.0,30.0,10,0.0,0.0,70.6,0.02,10.0,10,0.0,0.0,8,4.0,,0.2,0.0,0.0,0.0,0.0,1.0,126.0,0.0,0,0.19,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,612.0,90.0,0.0,0.0,1.0,5.0,542.0,2.0,0.0,10.9,0.0,33.0,,0.0,17.6,25.0,6226.0,0.3,0.0,0.0,0.0,0.0,566.0,0.0,19.6,,,1.9,34.0,98.3,0.0,481.0,172.0,174.0,0.0,0.0,298.0,0.0,621.0,0.0,360.0,20.0,22.5,0.0,,10.0,10.0,0.0,1.02,1.0,608.0,,14.0,10.0,0.0,0.0,0.0,0.26,0.0,1.0,0.0
0050cd30,Sjoeke Nüsken,MF,23.0,0.0,10863.0,91.0,93.0,0.47,72.0,0.3,,0.0,69.0,0.0,504.0,-4.1,0.0,39.0,76.9,4.0,,,,0.3,22.8,8.4,6.1,23.0,,,,3.0,14.0,39.0,1.0,80.5,23.0,0.0,-0.52,0.5,619.0,14.0,,0.14,0.0,,45.0,0.0,769.0,35.0,,,0.7,5.0,4.0,29.0,294.0,93.0,24.0,2.0,80.0,0.0,2.0,16.9,0.12,,,0.0,14.5,2.0,80.0,3.0,16.9,,11,3.0,0.18,,15.0,18.0,24.0,60.0,37.8,0.0,,,2.0,0.36,1.0,69.0,,485.0,4.0,2.71,27.0,5.0,15.0,2086.0,14.0,,21.0,,98.0,52.0,0.36,18,,1027.0,0.25,,2.3,10.0,21,0.14,86.2,25.0,7.0,,3.0,45.0,772.0,,5.0,0.0,8.0,10.0,,21,12.0,0.0,,0.5,,18,0.0,0.0,1,,0.04,2.3,5.0,14.0,6.1,56.0,16.0,100.0,8.0,3,,0.0,1.83,3.0,0.0,3.55,,0.0,35.0,0.12,56.0,,251.0,72.0,300.0,20.0,17.0,21.0,619.0,4.0,0.47,,6.1,,17.8,35.0,,,3087.0,2.0,21.0,2.66,2.0,28.0,762.0,1.0,37.3,22.2,77.8,,,83.3,24.0,658.0,288.0,334.0,2.0,,245.0,,1027.0,3.0,40.0,41.0,,7.0,12.4,31.0,10.0,-4.1,1.35,37.0,769.0,62.5,3.0,,0.0,6.1,0.0,0.15,,,0.0
01620f1a,Erin Radbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019544ff,Caitlin Foord,"FW,MF",29.0,1.0,4466.0,31.0,58.0,1.02,19.0,0.58,,0.0,10.0,0.0,440.0,0.5,1.0,7.0,62.6,5.0,,,,0.58,20.8,7.8,5.5,11.0,,,,12.0,26.0,7.0,0.0,67.8,29.0,0.0,0.87,0.57,326.0,11.0,,0.17,0.0,,31.0,0.0,481.0,12.0,,,-0.4,1.0,7.0,4.0,156.0,58.0,11.0,36.0,72.0,0.0,6.0,13.8,0.44,,,0.0,9.6,10.0,102.0,0.0,13.8,,3,1.0,0.15,,26.0,46.0,38.0,47.0,50.0,0.0,,,6.0,0.4,2.0,32.3,,208.0,18.0,2.1,19.0,0.0,24.0,2854.0,62.0,,18.0,,52.0,24.0,0.4,15,,670.0,0.43,,2.4,44.0,20,0.16,82.4,31.0,2.0,,2.0,36.0,1572.0,,0.0,1.0,14.0,44.0,,20,6.0,2.0,,0.57,,15,2.0,0.0,1,,0.17,2.4,8.0,62.0,5.5,190.0,7.0,31.0,12.0,5,,11.0,1.96,1.0,0.0,3.41,,0.0,12.0,0.44,190.0,,56.0,62.0,416.0,24.0,34.0,17.0,326.0,1.0,0.87,,5.5,,38.9,3.0,,,1348.0,3.0,18.0,2.61,5.0,20.0,468.0,5.0,30.5,39.1,56.5,,,64.7,26.0,498.0,201.0,244.0,6.0,,101.0,,670.0,2.0,5.0,40.0,,5.0,13.0,27.0,13.0,0.5,1.51,22.0,481.0,14.3,0.0,,0.0,5.5,0.0,0.71,,,0.0
01cd8211,Matilda Vinberg,"FW,MF",21.0,0.0,2609.0,23.0,11.0,0.36,6.0,0.0,,0.0,15.0,0.0,200.0,-0.9,20.0,7.0,38.4,1.0,760.0,,,0.0,-6.7,1.9,0.9,3.0,,,,40.0,17.0,7.0,0.0,62.0,21.0,0.0,-1.17,0.22,173.0,9.0,,0.12,0.0,,15.0,0.0,279.0,11.0,,,-1.0,0.0,0.0,13.0,80.0,11.0,6.0,6.0,73.0,0.0,0.0,8.4,0.0,,,17.0,15.2,3.0,27.0,0.0,8.4,,1,0.0,0.0,,12.0,33.0,20.0,24.0,75.0,0.0,,,0.0,0.1,0.0,38.5,,150.0,16.0,0.67,12.0,0.0,5.0,1089.0,18.0,,9.0,,46.0,16.0,0.1,8,,401.0,0.0,,1.0,33.0,18,0.07,78.6,17.0,0.0,,0.0,13.0,433.0,,1.0,7.0,3.0,33.0,,18,3.0,1.0,,0.22,,8,0.0,0.0,3,,0.0,1.0,0.0,18.0,0.9,52.0,7.0,39.0,1.0,10,,8.0,-1.54,0.0,0.0,2.84,,0.0,11.0,0.0,52.0,,75.0,42.0,181.0,11.0,4.0,8.0,173.0,2.0,0.12,,0.9,,23.1,7.0,,,750.0,1.2,10.0,1.54,0.0,10.0,237.0,1.0,8.4,48.5,51.5,,,56.3,12.0,224.0,103.0,131.0,0.0,,45.0,,401.0,0.0,13.0,11.0,,1.0,19.1,-13.0,24.0,-0.9,-0.8,12.0,279.0,43.8,11.0,,0.0,0.9,0.0,-0.9,,,0.0
02ebb157,Izzy Atkinson,"MF,FW",23.0,0.0,117.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.1,0.0,22.0,,,0.0,0.1,0.1,0.0,2.0,,,,2.0,0.0,0.0,0.0,60.0,23.0,0.0,2.07,0.53,3.0,0.0,,0.43,0.0,,0.0,0.0,5.0,1.0,,,-0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.2,0.0,,,1.0,0.7,0.0,1.0,0.0,0.2,,0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.11,0.0,66.7,,4.0,0.0,0.75,1.0,0.0,0.0,19.0,0.0,,1.0,,1.0,1.0,0.11,0,,8.0,,,0.1,1.0,4,0.03,0.0,6.0,0.0,,0.0,1.0,3.0,,1.0,1.0,0.0,1.0,,4,0.0,0.0,,0.53,,0,0.0,0.0,12,,0.0,0.1,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4,,0.0,0.0,0.0,0.0,4.09,,0.0,1.0,0.0,2.0,,2.0,6.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,,0.0,,0.0,0.0,,,70.0,0.3,0.0,4.09,0.0,0.0,3.0,0.0,0.8,,,,,100.0,0.0,4.0,0.0,1.0,0.0,,1.0,,8.0,0.0,0.0,1.0,,0.0,27.5,0.0,1.0,0.0,0.45,2.0,5.0,0.0,1.0,,0.0,0.0,0.0,1.65,,,0.0
0338228e,Katja Snoeijs,"FW,MF",27.0,1.0,3801.0,30.0,41.0,0.45,19.0,0.4,,0.0,17.0,0.0,225.0,-1.0,1.0,5.0,80.2,2.0,,,,0.34,-13.7,4.9,4.7,13.0,,,,24.0,7.0,5.0,0.0,68.1,27.0,1.0,0.69,0.32,239.0,9.0,,0.05,0.0,,22.0,1.0,351.0,14.0,,,2.0,1.0,7.0,20.0,131.0,41.0,7.0,4.0,72.0,1.0,4.0,17.6,0.23,,,1.0,29.7,4.0,36.0,0.0,17.6,,2,1.0,0.17,,18.0,15.0,36.0,32.0,40.9,0.0,,,3.0,0.23,1.0,51.5,,213.0,8.0,1.09,10.0,2.0,12.0,1267.0,19.0,,16.0,,61.0,25.0,0.27,22,,506.0,0.38,,1.0,8.0,22,0.15,73.9,,3.0,,3.0,26.0,462.0,,0.0,0.0,8.0,8.0,,22,10.0,1.0,,0.28,,22,0.0,0.0,0,,0.12,1.0,7.0,19.0,4.0,52.0,8.0,33.0,10.0,0,,4.0,-0.23,1.0,0.0,1.81,,0.0,14.0,0.17,52.0,,115.0,72.0,184.0,12.0,9.0,12.0,239.0,2.0,0.57,,4.7,,30.8,13.0,,,1055.0,1.0,14.0,1.47,1.0,17.0,325.0,1.0,16.0,53.3,46.7,,,74.8,26.0,306.0,113.0,153.0,4.0,,98.0,,505.0,3.0,26.0,21.0,,6.0,14.4,-4.0,25.0,-0.7,-0.78,22.0,351.0,44.8,3.0,,0.0,4.0,1.0,0.37,,,0.0
043d38be,Alessia Russo,FW,25.0,1.0,6040.0,16.0,47.0,1.66,22.0,0.75,,0.0,20.0,0.0,462.0,2.3,0.0,5.0,85.0,2.0,,,,0.7,22.6,11.5,9.5,7.0,,,,26.0,13.0,5.0,0.0,78.0,25.0,1.0,0.86,0.65,416.0,1.0,,0.15,0.0,,32.0,1.0,533.0,8.0,,,-0.7,1.0,3.0,8.0,164.0,47.0,5.0,23.0,85.0,1.0,12.0,18.7,0.64,,,0.0,18.0,26.0,149.0,0.0,18.7,,15,0.0,0.11,,14.0,47.0,60.0,48.0,12.5,0.0,,,11.0,0.47,1.0,64.5,,277.0,30.0,2.14,16.0,1.0,21.0,2635.0,50.0,,39.0,,54.0,11.0,0.51,19,,759.0,0.35,,2.7,32.0,21,0.12,86.0,37.0,2.0,,2.0,72.0,1089.0,,0.0,0.0,31.0,32.0,,21,5.0,1.0,,0.61,,19,1.0,0.0,0,,0.15,2.7,14.0,50.0,8.7,137.0,1.0,31.0,6.0,2,,0.0,1.76,0.0,0.0,2.57,,0.0,8.0,0.59,137.0,,39.0,80.0,457.0,13.0,13.0,18.0,416.0,7.0,0.32,,9.5,,43.1,28.0,,,857.0,2.8,16.0,3.85,5.0,18.0,500.0,4.0,40.5,63.8,27.7,,,78.7,44.0,544.0,251.0,292.0,12.0,,129.0,,758.0,2.0,10.0,53.0,,6.0,13.5,33.0,20.0,2.5,1.21,8.0,533.0,41.8,0.0,,0.0,8.7,1.0,-0.26,,,0.0
044fb7f0,Kenzie Weir,DF,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,4,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047b0b71,Ashleigh Neville,DF,31.0,0.0,12353.0,137.0,91.0,0.0,71.0,0.1,,0.0,54.0,0.0,512.0,-0.4,0.0,44.0,86.8,5.0,,,,0.1,-6.5,1.2,0.4,28.0,,,,207.0,20.0,44.0,1.0,72.5,31.0,0.0,0.25,0.06,740.0,40.0,,0.04,0.0,,20.0,0.0,1021.0,73.0,,,1.1,1.0,1.0,88.0,401.0,91.0,34.0,3.0,88.0,0.0,0.0,19.1,0.0,,,0.0,27.9,1.0,11.0,0.0,19.1,,17,3.0,0.1,,26.0,45.0,35.0,26.0,58.8,0.0,,,0.0,0.02,0.0,44.3,,518.0,25.0,0.95,13.0,1.0,22.0,2924.0,34.0,,20.0,,117.0,93.0,0.02,19,,1363.0,,,0.9,32.0,21,0.03,83.0,23.0,5.0,,2.0,11.0,1333.0,,4.0,2.0,0.0,32.0,,21,9.0,0.0,,0.06,,19,0.0,0.0,1,,0.0,0.9,2.0,34.0,0.4,46.0,50.0,122.0,1.0,2,,202.0,-0.79,3.0,0.0,1.36,,3.0,73.0,0.0,46.0,,581.0,82.0,281.0,28.0,18.0,11.0,740.0,4.0,0.05,,0.4,,0.0,26.0,,,5716.0,0.9,37.0,0.58,0.0,42.0,810.0,1.0,21.4,55.6,44.4,,,74.1,15.0,616.0,386.0,465.0,0.0,,297.0,,1363.0,2.0,99.0,24.0,,2.0,23.5,-15.0,39.0,-0.4,-0.34,68.0,1021.0,56.5,5.0,,0.0,0.4,0.0,-0.73,,,0.0
