team_id,team_name,team_url,table_type,rank,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,players_used,avg_age,possession,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,notes
a6a4e67d,Chelsea,https://fbref.com/en/squads/a6a4e67d/Chelsea-Women-Stats,results2024-20251891_overall,1,22,19,3,0,56,13,+43,60,2.73,48.2,19.2,28.9,1.32,"9,373",Agnes Beever-Jones - 9,Hannah Hampton,11,10,1,0,26,8,+18,31,2.82,25.3,8.4,16.9,1.54,11,9,2,0,30,5,+25,29,2.64,22.8,10.8,12.0,1.09,26,26.7,40.7,242,"1,980",22.0,13,12,25,13,0,0,35,2,19.2,19.2,15.1,34.4,194,545,0.59,0.55,1.14,0.59,1.14,0.87,0.69,1.56,0.87,1.56,22,22,"1,980",56,2.55,145,92,64.1,0,3,19,0,0.0,5,4,0,1,0.0,2,6,3,49.5,0.32,-3.5,-0.16,74,204,36.3,623,96,23.0,29.0,217,28.1,25.6,396,14,3.5,25,1.14,13.7,188,62,33.0,8.55,2.82,0.07,0.21,16.6,6,0.1,-6.2,-6.2,6223,8451,73.6,105961,43474,2861,3443,83.1,2528,3105,81.4,582,1266,46.0,13.9,-3.1,139,388,107,21,7327,1092,223,7,23,271,501,73,51,13,2,32,220,317,14.41,216,34,18,20,18,11,21,0.95,16,1,2,0,1,1,582,339,307,191,84,259,461,56.2,202,351,119,232,218,800,727,13,11517,1915,5116,4343,2166,358,11517,324,151,46.6,164,50.6,5631,27057,12790,131,71,440,268,6151,539,90,100,80,153,88,20,98,0.14,13,56,-43,-1.95,19.2,48.2,-28.9,-1.32,1,177,180,32,0,5,3,941,242,281,46.3,
411b1108,Arsenal,https://fbref.com/en/squads/411b1108/Arsenal-Women-Stats,results2024-20251891_overall,2,22,15,3,4,62,26,+36,48,2.18,47.9,20.5,27.4,1.25,"28,808",Alessia Russo - 12,Daphne van Domselaar,11,8,2,1,39,11,+28,26,2.36,27.3,9.0,18.3,1.66,11,7,1,3,23,15,+8,22,2.0,20.6,11.5,9.1,0.83,26,26.6,37.5,242,"1,980",22.0,26,16,42,23,3,3,37,0,20.5,18.4,13.6,32.0,195,492,1.18,0.73,1.91,1.05,1.77,0.93,0.62,1.55,0.83,1.45,22,22,"1,980",62,2.82,152,95,62.5,4,3,15,2,9.1,6,5,0,1,0.0,0,6,5,53.7,0.33,-3.3,-0.15,65,200,32.5,712,86,20.6,27.1,190,27.9,25.5,391,27,6.9,19,0.86,12.7,183,70,38.3,8.32,3.18,0.13,0.33,18.2,3,0.1,5.5,4.6,6307,8334,75.7,107561,42623,2928,3438,85.2,2735,3258,83.9,517,1180,43.8,9.9,2.4,127,372,97,25,7401,901,247,11,24,215,319,61,32,17,2,32,200,316,14.36,226,22,20,25,15,8,40,1.82,21,1,6,8,3,1,449,271,246,162,41,188,397,47.4,209,330,103,227,235,684,724,16,11199,1985,5410,4143,1753,272,11196,339,169,49.9,155,45.7,5138,25968,13037,143,62,351,223,6244,486,90,100,81,148,94,19,93,0.68,26,62,-36,-1.64,20.5,47.9,-27.4,-1.25,0,198,166,32,3,6,5,971,197,201,49.5,
0bbd83f6,Manchester Utd,https://fbref.com/en/squads/0bbd83f6/2024-2025/Manchester-United-Women-Stats,results2024-20251891_overall,3,22,13,5,4,41,16,+25,44,2.0,37.4,22.5,14.9,0.68,"7,390",Elisabeth Terland - 10,Phallon Tullis-Joyce,11,7,3,1,23,5,+18,24,2.18,20.2,11.1,9.2,0.83,11,6,2,3,18,11,+7,20,1.82,17.2,11.5,5.7,0.52,21,26.6,50.1,242,"1,980",22.0,16,12,28,13,3,3,25,0,22.5,20.3,16.0,36.4,285,673,0.73,0.55,1.27,0.59,1.14,1.02,0.73,1.75,0.92,1.65,22,22,"1,980",41,1.86,101,60,61.4,4,5,13,4,18.2,2,2,0,0,0.0,0,4,0,38.3,0.37,-2.7,-0.12,72,226,31.9,733,102,22.0,28.2,193,33.7,28.0,343,33,9.6,28,1.27,13.6,222,74,33.3,10.09,3.36,0.06,0.18,16.1,3,0.09,-6.5,-7.3,7501,9910,75.7,124938,50351,3518,4149,84.8,3163,3823,82.7,605,1294,46.8,17.3,-4.0,163,494,132,33,8698,1177,287,10,9,319,539,95,66,17,2,35,266,378,17.18,262,43,20,23,19,11,31,1.41,18,4,2,3,3,1,437,249,209,168,60,185,367,50.4,182,277,76,201,209,646,642,27,12840,1673,5127,5082,2769,452,12837,395,178,45.1,204,51.6,6304,30972,14928,192,101,456,323,7410,667,90,100,83,154,89,22,99,0.77,16,41,-25,-1.14,22.5,37.4,-14.9,-0.68,0,188,229,35,3,2,0,1033,319,318,50.1,
9ce68f8a,Manchester City,https://fbref.com/en/squads/9ce68f8a/Manchester-City-Women-Stats,results2024-20251891_overall,4,22,13,4,5,49,28,+21,43,1.95,44.1,24.9,19.3,0.88,"6,726",Khadija Shaw - 12,Khiara Keating,11,7,1,3,29,14,+15,22,2.0,24.0,12.7,11.3,1.03,11,6,3,2,20,14,+6,21,1.91,20.1,12.2,8.0,0.72,27,26.4,35.1,242,"1,980",22.0,27,24,51,27,0,0,20,1,24.9,24.9,20.3,45.2,212,475,1.23,1.09,2.32,1.23,2.32,1.13,0.92,2.05,1.13,2.05,22,22,"1,980",49,2.23,150,101,68.7,5,4,13,1,4.5,2,2,0,0,0.0,0,4,0,49.7,0.32,0.7,0.03,74,228,32.5,636,95,26.4,30.5,175,34.3,27.9,343,17,5.0,14,0.64,11.3,219,75,34.2,9.95,3.41,0.12,0.36,16.3,1,0.12,2.1,2.1,5641,7731,73.0,97275,40863,2631,3149,83.6,2338,2893,80.8,540,1174,46.0,17.1,3.7,170,369,110,34,6790,882,155,28,14,254,405,76,52,14,0,59,235,364,16.55,264,29,19,34,10,8,44,2.0,36,1,3,3,1,0,488,302,238,189,61,196,433,45.3,237,297,102,195,244,732,646,17,10407,1690,4820,3730,1981,383,10407,323,158,48.9,161,49.8,4643,23974,11098,113,93,348,212,5590,472,90,100,84,148,94,22,86,0.86,28,49,-21,-0.95,24.9,44.1,-19.3,-0.88,1,175,104,59,0,2,0,999,210,196,51.7,
fa2752bc,Brighton,https://fbref.com/en/squads/fa2752bc/Brighton-and-Hove-Albion-Women-Stats,results2024-20251891_overall,5,22,8,4,10,35,41,-6,28,1.27,31.8,39.5,-7.7,-0.35,"3,647","Fran Kirby, Nikita Parris - 7",Sophie Baggaley,11,5,4,2,23,15,+8,19,1.73,16.6,17.0,-0.4,-0.03,11,3,0,8,12,26,-14,9,0.82,15.2,22.5,-7.3,-0.67,25,26.3,47.2,242,"1,980",22.0,40,22,62,37,3,4,37,1,39.5,36.5,27.4,63.9,361,788,1.82,1.0,2.82,1.68,2.68,1.79,1.25,3.04,1.66,2.91,22,22,"1,980",35,1.59,96,62,66.7,10,4,8,3,13.6,3,3,0,0,0.0,0,2,1,35.4,0.35,1.4,0.06,76,196,38.8,659,79,24.4,29.0,134,26.1,24.4,230,21,9.1,23,1.05,13.4,296,112,37.8,13.45,5.09,0.13,0.33,16.0,5,0.13,0.5,0.5,7846,10097,77.7,134506,52439,3600,4161,86.5,3320,3927,84.5,716,1432,50.0,26.3,-5.4,209,602,219,46,9027,1019,254,17,24,436,478,96,66,10,2,51,226,503,22.86,369,33,26,35,21,19,62,2.82,44,2,3,5,3,5,434,279,167,199,68,180,364,49.5,184,320,71,249,226,660,519,11,12864,1568,4884,4664,3454,629,12860,377,172,45.6,198,52.5,6679,33580,15679,218,119,430,235,7777,780,90,100,82,153,88,21,104,1.55,41,35,+6,0.27,39.5,31.8,7.7,0.35,0,190,220,51,4,3,1,1070,184,214,46.2,
53157aa8,Aston Villa,https://fbref.com/en/squads/53157aa8/Aston-Villa-Women-Stats,results2024-20251891_overall,6,22,7,4,11,32,44,-12,25,1.14,26.2,32.5,-6.3,-0.29,"7,067",Rachel Daly - 8,Sabrina D'Angelo,11,4,2,5,19,21,-2,14,1.27,14.0,15.1,-1.1,-0.1,11,3,2,6,13,23,-10,11,1.0,12.2,17.4,-5.2,-0.47,25,26.4,47.8,242,"1,980",22.0,43,29,72,40,3,3,36,1,32.5,30.3,21.2,51.5,285,737,1.95,1.32,3.27,1.82,3.14,1.48,0.96,2.44,1.38,2.34,22,22,"1,980",32,1.45,102,72,69.6,11,4,7,8,36.4,1,1,0,0,0.0,0,1,2,29.1,0.28,-0.9,-0.04,67,179,37.4,715,86,19.0,26.8,173,24.9,23.6,323,18,5.6,21,0.95,13.1,252,97,38.5,11.45,4.41,0.16,0.41,16.0,2,0.13,10.5,9.7,7880,10159,77.6,136320,53045,3576,4152,86.1,3419,4088,83.6,691,1329,52.0,21.2,7.8,175,551,156,38,9066,1034,224,18,23,327,495,88,49,16,1,59,221,419,19.05,295,45,21,32,15,11,74,3.36,53,4,5,6,5,1,483,309,236,177,70,203,386,52.6,183,278,63,215,182,665,579,8,12810,1676,5011,5071,2850,469,12807,354,199,56.2,152,42.9,6384,33341,16400,195,91,375,246,7781,729,90,100,81,155,87,21,106,1.68,44,32,+12,0.55,32.5,26.2,6.3,0.29,1,192,186,59,3,1,2,1036,243,200,54.9,
00f74a56,Liverpool,https://fbref.com/en/squads/00f74a56/Liverpool-Women-Stats,results2024-20251891_overall,7,22,7,4,11,22,37,-15,25,1.14,25.1,25.7,-0.6,-0.03,"7,023",Olivia Smith - 7,Rachael Laws,11,3,3,5,12,16,-4,12,1.09,12.9,13.6,-0.6,-0.06,11,4,1,6,10,21,-11,13,1.18,12.1,12.1,0.0,0.0,26,26.5,52.6,242,"1,980",22.0,32,20,52,31,1,2,33,1,25.7,24.2,16.2,40.5,319,809,1.45,0.91,2.36,1.41,2.32,1.17,0.74,1.91,1.1,1.84,22,22,"1,980",22,1.0,84,63,77.4,11,4,7,8,36.4,3,3,0,0,0.0,1,4,1,20.0,0.22,-1.0,-0.04,63,183,34.4,644,67,21.3,27.6,171,26.9,24.3,292,21,7.2,11,0.5,12.3,245,82,33.5,11.14,3.73,0.13,0.38,16.5,4,0.1,6.3,6.8,8253,10640,77.6,142561,53693,3765,4319,87.2,3592,4304,83.5,719,1450,49.6,17.7,3.8,168,615,183,34,9574,1015,177,22,31,386,518,105,70,17,3,51,251,423,19.23,327,26,20,27,15,8,55,2.5,41,2,3,5,3,1,444,275,202,179,63,196,367,53.4,171,286,62,224,205,649,491,13,13272,1371,4624,5551,3232,487,13270,329,145,44.1,179,54.4,6852,36227,17380,224,97,412,307,8145,798,90,100,82,153,88,20,102,1.68,37,22,+15,0.68,25.7,25.1,0.6,0.03,1,231,160,51,2,3,1,1069,289,339,46.0,
c4989550,Everton,https://fbref.com/en/squads/c4989550/Everton-Women-Stats,results2024-20251891_overall,8,22,6,6,10,24,32,-8,24,1.09,19.3,38.0,-18.7,-0.85,"1,956","Honoka Hayashi, Kelly Gago... - 4",Courtney Brosnan,11,4,3,4,16,17,-1,15,1.36,10.6,17.9,-7.3,-0.66,11,2,3,6,8,15,-7,9,0.82,8.7,20.1,-11.4,-1.04,28,26.3,56.2,242,"1,980",22.0,31,19,50,27,4,4,30,0,38.0,35.1,25.0,60.1,445,1144,1.41,0.86,2.27,1.23,2.09,1.73,1.14,2.86,1.6,2.73,22,22,"1,980",24,1.09,58,35,60.3,10,6,6,7,31.8,1,1,0,0,0.0,1,3,1,18.5,0.31,-4.5,-0.2,54,128,42.2,725,76,15.7,25.8,133,10.5,18.9,264,20,7.6,25,1.14,14.4,336,125,37.2,15.27,5.68,0.08,0.22,16.7,4,0.11,-7.0,-8.1,10262,12466,82.3,179239,63957,4455,5003,89.0,4714,5369,87.8,868,1503,57.8,31.8,-6.0,244,886,239,61,11365,1064,222,16,52,456,533,129,75,16,2,37,208,591,26.86,465,36,31,33,14,12,50,2.27,37,1,4,3,4,1,425,280,161,182,82,168,320,52.5,152,288,44,244,214,639,432,4,14981,1249,4669,6136,4291,642,14977,370,170,45.9,197,53.2,8217,41986,21560,288,132,371,218,10161,1131,90,100,81,153,89,20,99,1.64,32,24,+8,0.36,38.0,19.3,18.7,0.85,0,172,189,37,3,1,1,1065,198,235,45.7,
52d65cea,West Ham,https://fbref.com/en/squads/52d65cea/West-Ham-United-Women-Stats,results2024-20251891_overall,9,22,6,5,11,36,41,-5,23,1.05,30.5,38.7,-8.3,-0.38,"1,838",Shekiera Martinez - 10,Kinga Szemik,11,5,3,3,17,15,+2,18,1.64,14.8,16.8,-2.0,-0.18,11,1,2,8,19,26,-7,5,0.45,15.6,21.9,-6.2,-0.57,22,26.3,59.4,242,"1,980",22.0,38,25,63,35,3,3,31,0,38.7,36.7,27.9,64.6,361,920,1.73,1.14,2.86,1.59,2.73,1.76,1.27,3.03,1.67,2.94,22,22,"1,980",36,1.64,105,70,67.6,11,5,6,6,27.3,2,2,0,0,0.0,2,5,1,32.1,0.3,-2.9,-0.13,46,149,30.9,754,99,16.4,24.9,153,16.3,20.2,234,17,7.3,21,0.95,12.3,332,112,33.7,15.09,5.09,0.11,0.31,16.0,8,0.11,-0.7,-1.7,9714,12117,80.2,168902,62898,4301,4922,87.4,4402,5093,86.4,810,1557,52.0,29.2,-2.9,237,782,216,53,10871,1193,244,10,23,496,584,154,102,22,2,53,225,573,26.05,431,47,32,30,21,12,63,2.86,47,2,4,4,3,3,412,276,154,166,92,178,348,51.1,170,256,56,200,256,668,450,7,14707,1381,5010,5755,4094,664,14704,394,178,45.2,214,54.3,7942,41142,20316,251,129,407,309,9584,906,90,100,83,146,96,23,96,1.73,41,36,+5,0.23,38.7,30.5,8.3,0.38,0,209,216,53,2,2,1,1115,245,210,53.8,
23bce84e,Leicester City,https://fbref.com/en/squads/23bce84e/Leicester-City-Women-Stats,results2024-20251891_overall,10,22,5,5,12,21,37,-16,20,0.91,19.4,36.9,-17.5,-0.79,"2,827",Janice Cayman - 4,Janina Leitzig,11,5,2,4,15,13,+2,17,1.55,12.8,17.4,-4.6,-0.42,11,0,3,8,6,24,-18,3,0.27,6.6,19.5,-12.9,-1.17,27,26.4,63.5,242,"1,980",22.0,36,24,60,33,3,3,23,0,36.9,34.8,26.2,61.0,372,1093,1.64,1.09,2.73,1.5,2.59,1.68,1.19,2.87,1.58,2.77,22,22,"1,980",21,0.95,65,45,67.7,12,5,5,10,45.5,1,0,0,1,0.0,0,1,1,18.2,0.29,-1.8,-0.08,28,87,32.2,815,75,7.9,21.5,147,15.6,21.5,187,17,9.1,37,1.68,16.6,330,115,34.8,15.0,5.23,0.1,0.29,17.5,8,0.11,-0.9,-1.8,11310,13764,82.2,191535,68502,5113,5794,88.2,5286,6043,87.5,722,1339,53.9,32.0,-2.2,237,976,225,46,12562,1174,235,14,13,467,611,138,72,15,2,28,264,591,26.86,450,44,33,26,27,11,66,3.0,53,4,2,0,7,0,413,263,149,166,98,169,315,53.7,146,270,48,222,183,596,373,7,16298,1292,4759,7256,4433,663,16295,493,240,48.7,244,49.5,8904,45986,23061,263,116,408,316,11219,1085,90,100,81,153,89,24,99,1.86,37,21,+16,0.73,36.9,19.4,17.5,0.79,0,205,203,28,3,1,1,1140,198,198,50.0,
